drug,dose_nM,method,alpha
(+)-JQ1,10.0,original_loglinear,0.2603453447672145
(+)-JQ1,10.0,improved_hill,0.17187149596722187
(+)-JQ1,10.444025524245694,original_loglinear,0.26464183127283286
(+)-JQ1,10.444025524245694,improved_hill,0.1769856161584596
(+)-JQ1,10.907766915109553,original_loglinear,0.2689546612816753
(+)-JQ1,10.907766915109553,improved_hill,0.18221912740824156
(+)-JQ1,11.392099607392687,original_loglinear,0.27328325691647803
(+)-JQ1,11.392099607392687,improved_hill,0.18757286813379487
(+)-JQ1,11.897937907435857,original_loglinear,0.2776270563155014
(+)-JQ1,11.897937907435857,improved_hill,0.19304756174594098
(+)-JQ1,12.42623671911505,original_loglinear,0.2819855135340437
(+)-JQ1,12.42623671911505,improved_hill,0.19864380987438057
(+)-JQ1,12.977993346475664,original_loglinear,0.28635809841531873
(+)-JQ1,12.977993346475664,improved_hill,0.2043620856155275
(+)-JQ1,13.554249376408261,original_loglinear,0.2907442964335345
(+)-JQ1,13.554249376408261,improved_hill,0.2102027268347237
(+)-JQ1,14.156092644919916,original_loglinear,0.29514360851188837
(+)-JQ1,14.156092644919916,improved_hill,0.21616592955659833
(+)-JQ1,14.784659290713032,original_loglinear,0.2995555508180655
(+)-JQ1,14.784659290713032,improved_hill,0.2222517414791539
(+)-JQ1,15.441135899948314,original_loglinear,0.30397965453969666
(+)-JQ1,15.441135899948314,improved_hill,0.22846005564884564
(+)-JQ1,16.126761746240668,original_loglinear,0.3084154656420975
(+)-JQ1,16.126761746240668,improved_hill,0.2347906043354291
(+)-JQ1,16.84283113011666,original_loglinear,0.31286254461048313
(+)-JQ1,16.84283113011666,improved_hill,0.2412429531466739
(+)-JQ1,17.590695822349833,original_loglinear,0.31732046617871484
(+)-JQ1,17.590695822349833,improved_hill,0.24781649542412343
(+)-JQ1,18.371767615786375,original_loglinear,0.3217888190465098
(+)-JQ1,18.371767615786375,improved_hill,0.2545104469619192
(+)-JQ1,19.187520990478333,original_loglinear,0.32626720558691535
(+)-JQ1,19.187520990478333,improved_hill,0.2613238410912515
(+)-JQ1,20.03949589715557,original_loglinear,0.3307552415457251
(+)-JQ1,20.03949589715557,improved_hill,0.2682555241732353
(+)-JQ1,20.929300664290967,original_loglinear,0.33525255573439333
(+)-JQ1,20.929300664290967,improved_hill,0.27530415154290117
(+)-JQ1,21.858615034246718,original_loglinear,0.3397587897178876
(+)-JQ1,21.858615034246718,improved_hill,0.28246818394652434
(+)-JQ1,22.829193334233338,original_loglinear,0.34427359749880615
(+)-JQ1,22.829193334233338,improved_hill,0.2897458845136586
(+)-JQ1,23.842867788067263,original_loglinear,0.3487966451989806
(+)-JQ1,23.842867788067263,improved_hill,0.2971353163039813
(+)-JQ1,24.901551974978997,original_loglinear,0.35332761073967983
(+)-JQ1,24.901551974978997,improved_hill,0.30463434046738486
(+)-JQ1,26.007244442001138,original_loglinear,0.35786618352143285
(+)-JQ1,26.007244442001138,improved_hill,0.3122406150536386
(+)-JQ1,27.162032476755684,original_loglinear,0.3624120641043983
(+)-JQ1,27.162032476755684,improved_hill,0.3199515945054152
(+)-JQ1,28.368096047762684,original_loglinear,0.3669649638901162
(+)-JQ1,28.368096047762684,improved_hill,0.32776452986550114
(+)-JQ1,29.627711919708698,original_loglinear,0.37152460480539806
(+)-JQ1,29.627711919708698,improved_hill,0.33567646972561865
(+)-JQ1,30.943257951443588,original_loglinear,0.37609071898903157
(+)-JQ1,30.943257951443588,improved_hill,0.34368426194047624
(+)-JQ1,32.31721758481955,original_loglinear,0.3806630484819051
(+)-JQ1,32.31721758481955,improved_hill,0.351784556126459
(+)-JQ1,33.752184532845696,original_loglinear,0.38524134492108436
(+)-JQ1,33.752184532845696,improved_hill,0.3599738069597937
(+)-JQ1,35.250867676009136,original_loglinear,0.38982536923831823
(+)-JQ1,35.250867676009136,improved_hill,0.3682482782841151
(+)-JQ1,36.81609617600466,original_loglinear,0.3944148913633803
(+)-JQ1,36.81609617600466,improved_hill,0.3766040480321312
(+)-JQ1,38.45082481652772,original_loglinear,0.3990096899326095
(+)-JQ1,38.45082481652772,improved_hill,0.3850370139606295
(+)-JQ1,40.1581395812115,original_loglinear,0.40360955200295145
(+)-JQ1,40.1581395812115,improved_hill,0.3935429001923653
(+)-JQ1,41.94126347923944,original_loglinear,0.4082142727717655
(+)-JQ1,41.94126347923944,improved_hill,0.4021172645525589
(+)-JQ1,43.80356262962903,original_loglinear,0.4128236553026086
(+)-JQ1,43.80356262962903,improved_hill,0.4107555066817832
(+)-JQ1,45.74855261567406,original_loglinear,0.4174375102571783
(+)-JQ1,45.74855261567406,improved_hill,0.41945287690108063
(+)-JQ1,47.77990512153967,original_loglinear,0.42205565563355074
(+)-JQ1,47.77990512153967,improved_hill,0.42820448579921605
(+)-JQ1,49.90145486353981,original_loglinear,0.42667791651082515
(+)-JQ1,49.90145486353981,improved_hill,0.4370053145061621
(+)-JQ1,52.11720682918039,original_loglinear,0.4313041248002485
(+)-JQ1,52.11720682918039,improved_hill,0.4458502256112658
(+)-JQ1,54.431343837635225,original_loglinear,0.43593411900287365
(+)-JQ1,54.431343837635225,improved_hill,0.4547339746791497
(+)-JQ1,56.84823443592555,original_loglinear,0.44056774397377285
(+)-JQ1,56.84823443592555,improved_hill,0.4636512223113019
(+)-JQ1,59.37244114571097,original_loglinear,0.4452048506928121
(+)-JQ1,59.37244114571097,improved_hill,0.47259654669660506
(+)-JQ1,62.00872907625803,original_loglinear,0.4498452960419666
(+)-JQ1,62.00872907625803,improved_hill,0.4815644565897635
(+)-JQ1,64.76207491984752,original_loglinear,0.4544889425891447
(+)-JQ1,64.76207491984752,improved_hill,0.4905494046528153
(+)-JQ1,67.63767634659992,original_loglinear,0.4591356583784661
(+)-JQ1,67.63767634659992,improved_hill,0.49954580109166247
(+)-JQ1,70.6409618164559,original_loglinear,0.46378531672693235
(+)-JQ1,70.6409618164559,improved_hill,0.508548027516909
(+)-JQ1,73.77760082683305,original_loglinear,0.46843779602740787
(+)-JQ1,73.77760082683305,improved_hill,0.5175504509562616
(+)-JQ1,77.05351461530549,original_loglinear,0.47309297955782753
(+)-JQ1,77.05351461530549,improved_hill,0.5265474379443774
(+)-JQ1,80.47488733750892,original_loglinear,0.47775075529652655
(+)-JQ1,80.47488733750892,improved_hill,0.535533368615328
(+)-JQ1,84.04817774137396,original_loglinear,0.4824110157435929
(+)-JQ1,84.04817774137396,improved_hill,0.5445026507228393
(+)-JQ1,87.78013135972485,original_loglinear,0.48707365774812345
(+)-JQ1,87.78013135972485,improved_hill,0.5534497335141103
(+)-JQ1,91.67779324426061,original_loglinear,0.49173858234126727
(+)-JQ1,91.67779324426061,improved_hill,0.5623691213843538
(+)-JQ1,95.74852126495772,original_loglinear,0.49640569457493144
(+)-JQ1,95.74852126495772,improved_hill,0.5712553872411815
(+)-JQ1,100.0,original_loglinear,0.5010749033660212
(+)-JQ1,100.0,improved_hill,0.5801031855105667
(+)-JQ1,104.44025524245698,original_loglinear,0.5057461213460835
(+)-JQ1,104.44025524245698,improved_hill,0.5889072647193213
(+)-JQ1,109.07766915109553,original_loglinear,0.5104192647162189
(+)-JQ1,109.07766915109553,improved_hill,0.5976624795927701
(+)-JQ1,113.92099607392682,original_loglinear,0.5150942531071298
(+)-JQ1,113.92099607392682,improved_hill,0.6063638026105538
(+)-JQ1,118.97937907435858,original_loglinear,0.5197710094441651
(+)-JQ1,118.97937907435858,improved_hill,0.6150063349681762
(+)-JQ1,124.26236719115056,original_loglinear,0.5244494598172256
(+)-JQ1,124.26236719115056,improved_hill,0.6235853168969783
(+)-JQ1,129.77993346475662,original_loglinear,0.529129533355395
(+)-JQ1,129.77993346475662,improved_hill,0.6320961373006059
(+)-JQ1,135.54249376408254,original_loglinear,0.5338111621061583
(+)-JQ1,135.54249376408254,improved_hill,0.6405343426716639
(+)-JQ1,141.56092644919914,original_loglinear,0.5384942809190698
(+)-JQ1,141.56092644919914,improved_hill,0.6488956452580531
(+)-JQ1,147.8465929071304,original_loglinear,0.5431788273337417
(+)-JQ1,147.8465929071304,improved_hill,0.6571759304544099
(+)-JQ1,154.41135899948313,original_loglinear,0.5478647414720138
(+)-JQ1,154.41135899948313,improved_hill,0.6653712634000236
(+)-JQ1,161.2676174624066,original_loglinear,0.5525519659341787
(+)-JQ1,161.2676174624066,improved_hill,0.6734778947705313
(+)-JQ1,168.4283113011666,original_loglinear,0.5572404456991273
(+)-JQ1,168.4283113011666,improved_hill,0.6814922657565432
(+)-JQ1,175.9069582234984,original_loglinear,0.5619301280282916
(+)-JQ1,175.9069582234984,improved_hill,0.6894110122280358
(+)-JQ1,183.71767615786374,original_loglinear,0.5666209623732575
(+)-JQ1,183.71767615786374,improved_hill,0.6972309680888458
(+)-JQ1,191.87520990478325,original_loglinear,0.5713129002869264
(+)-JQ1,191.87520990478325,improved_hill,0.7049491678308315
(+)-JQ1,200.39495897155572,original_loglinear,0.5760058953381031
(+)-JQ1,200.39495897155572,improved_hill,0.7125628483022033
(+)-JQ1,209.29300664290977,original_loglinear,0.5806999030293944
(+)-JQ1,209.29300664290977,improved_hill,0.720069449709127
(+)-JQ1,218.5861503424672,original_loglinear,0.5853948807183044
(+)-JQ1,218.5861503424672,improved_hill,0.7274666158739368
(+)-JQ1,228.29193334233327,original_loglinear,0.5900907875414122
(+)-JQ1,228.29193334233327,improved_hill,0.7347521937771312
(+)-JQ1,238.42867788067264,original_loglinear,0.5947875843415249
(+)-JQ1,238.42867788067264,improved_hill,0.7419242324137482
(+)-JQ1,249.0155197497901,original_loglinear,0.5994852335976981
(+)-JQ1,249.0155197497901,improved_hill,0.7489809809977167
(+)-JQ1,260.0724444200114,original_loglinear,0.6041836993580224
(+)-JQ1,260.0724444200114,improved_hill,0.7559208865503543
(+)-JQ1,271.6203247675567,original_loglinear,0.6088829471750742
(+)-JQ1,271.6203247675567,improved_hill,0.7627425909113013
(+)-JQ1,283.68096047762685,original_loglinear,0.6135829440439333
(+)-JQ1,283.68096047762685,improved_hill,0.7694449272119036
(+)-JQ1,296.27711919708696,original_loglinear,0.618283658342673
(+)-JQ1,296.27711919708696,improved_hill,0.7760269158523315
(+)-JQ1,309.4325795144359,original_loglinear,0.6229850597752304
(+)-JQ1,309.4325795144359,improved_hill,0.7824877600246121
(+)-JQ1,323.17217584819514,original_loglinear,0.6276871193165696
(+)-JQ1,323.17217584819514,improved_hill,0.7888268408242434
(+)-JQ1,337.52184532845695,original_loglinear,0.6323898091600486
(+)-JQ1,337.52184532845695,improved_hill,0.795043711993195
(+)-JQ1,352.5086767600913,original_loglinear,0.637093102666909
(+)-JQ1,352.5086767600913,improved_hill,0.8011380943368807
(+)-JQ1,368.1609617600467,original_loglinear,0.6417969743178067
(+)-JQ1,368.1609617600467,improved_hill,0.8071098698571721
(+)-JQ1,384.5082481652768,original_loglinear,0.6465013996663066
(+)-JQ1,384.5082481652768,improved_hill,0.8129590756427015
(+)-JQ1,401.58139581211503,original_loglinear,0.6512063552942633
(+)-JQ1,401.58139581211503,improved_hill,0.8186858975566287
(+)-JQ1,419.41263479239444,original_loglinear,0.655911818769018
(+)-JQ1,419.41263479239444,improved_hill,0.824290663760755
(+)-JQ1,438.0356262962902,original_loglinear,0.6606177686023387
(+)-JQ1,438.0356262962902,improved_hill,0.8297738381133549
(+)-JQ1,457.4855261567401,original_loglinear,0.6653241842110381
(+)-JQ1,457.4855261567401,improved_hill,0.8351360134764352
(+)-JQ1,477.7990512153967,original_loglinear,0.6700310458792016
(+)-JQ1,477.7990512153967,improved_hill,0.840377904966312
(+)-JQ1,499.01454863539806,original_loglinear,0.6747383347219619
(+)-JQ1,499.01454863539806,improved_hill,0.8455003431794803
(+)-JQ1,521.1720682918038,original_loglinear,0.6794460326507619
(+)-JQ1,521.1720682918038,improved_hill,0.8505042674237288
(+)-JQ1,544.3134383763517,original_loglinear,0.6841541223400446
(+)-JQ1,544.3134383763517,improved_hill,0.855390718982392
(+)-JQ1,568.4823443592555,original_loglinear,0.6888625871953141
(+)-JQ1,568.4823443592555,improved_hill,0.860160834437511
(+)-JQ1,593.7244114571097,original_loglinear,0.6935714113225127
(+)-JQ1,593.7244114571097,improved_hill,0.8648158390755504
(+)-JQ1,620.0872907625803,original_loglinear,0.6982805794986631
(+)-JQ1,620.0872907625803,improved_hill,0.8693570403972023
(+)-JQ1,647.6207491984753,original_loglinear,0.7029900771437227
(+)-JQ1,647.6207491984753,improved_hill,0.8737858217506963
(+)-JQ1,676.3767634659991,original_loglinear,0.7076998902936039
(+)-JQ1,676.3767634659991,improved_hill,0.8781036361059766
(+)-JQ1,706.409618164559,original_loglinear,0.7124100055743108
(+)-JQ1,706.409618164559,improved_hill,0.8823119999850955
(+)-JQ1,737.7760082683312,original_loglinear,0.7171204101771494
(+)-JQ1,737.7760082683312,improved_hill,0.8864124875622187
(+)-JQ1,770.5351461530549,original_loglinear,0.721831091834967
(+)-JQ1,770.5351461530549,improved_hill,0.8904067249447697
(+)-JQ1,804.7488733750887,original_loglinear,0.726542038799379
(+)-JQ1,804.7488733750887,improved_hill,0.8942963846454406
(+)-JQ1,840.4817774137397,original_loglinear,0.7312532398189435
(+)-JQ1,840.4817774137397,improved_hill,0.8980831802531004
(+)-JQ1,877.801313597249,original_loglinear,0.7359646841182441
(+)-JQ1,877.801313597249,improved_hill,0.9017688613090171
(+)-JQ1,916.7779324426061,original_loglinear,0.7406763613778449
(+)-JQ1,916.7779324426061,improved_hill,0.905355208393302
(+)-JQ1,957.4852126495767,original_loglinear,0.7453882617150822
(+)-JQ1,957.4852126495767,improved_hill,0.9088440284250761
(+)-JQ1,1000.0,original_loglinear,0.7501003756656573
(+)-JQ1,1000.0,improved_hill,0.9122371501785455
(+)-JQ1,1044.4025524245687,original_loglinear,0.7548126941659987
(+)-JQ1,1044.4025524245687,improved_hill,0.9155364200159706
(+)-JQ1,1090.7766915109553,original_loglinear,0.7595252085363623
(+)-JQ1,1090.7766915109553,improved_hill,0.9187436978374084
(+)-JQ1,1139.2099607392681,original_loglinear,0.7642379104646378
(+)-JQ1,1139.2099607392681,improved_hill,0.9218608532460985
(+)-JQ1,1189.7937907435858,original_loglinear,0.7689507919908344
(+)-JQ1,1189.7937907435858,improved_hill,0.9248897619274605
(+)-JQ1,1242.6236719115043,original_loglinear,0.773663845492215
(+)-JQ1,1242.6236719115043,improved_hill,0.9278323022388504
(+)-JQ1,1297.7993346475664,original_loglinear,0.7783770636690555
(+)-JQ1,1297.7993346475664,improved_hill,0.9306903520065053
(+)-JQ1,1355.4249376408254,original_loglinear,0.7830904395309999
(+)-JQ1,1355.4249376408254,improved_hill,0.9334657855254651
(+)-JQ1,1415.6092644919916,original_loglinear,0.7878039663839892
(+)-JQ1,1415.6092644919916,improved_hill,0.936160470757708
(+)-JQ1,1478.4659290713025,original_loglinear,0.7925176378177384
(+)-JQ1,1478.4659290713025,improved_hill,0.9387762667232591
(+)-JQ1,1544.1135899948315,original_loglinear,0.7972314476937411
(+)-JQ1,1544.1135899948315,improved_hill,0.9413150210786279
(+)-JQ1,1612.676174624066,original_loglinear,0.8019453901337764
(+)-JQ1,1612.676174624066,improved_hill,0.9437785678765988
(+)-JQ1,1684.283113011666,original_loglinear,0.8066594595089014
(+)-JQ1,1684.283113011666,improved_hill,0.9461687255011252
(+)-JQ1,1759.0695822349824,original_loglinear,0.8113736504289052
(+)-JQ1,1759.0695822349824,improved_hill,0.9484872947708664
(+)-JQ1,1837.1767615786375,original_loglinear,0.8160879577322079
(+)-JQ1,1837.1767615786375,improved_hill,0.9507360572047534
(+)-JQ1,1918.7520990478324,original_loglinear,0.8208023764761843
(+)-JQ1,1918.7520990478324,improved_hill,0.9529167734428564
(+)-JQ1,2003.9495897155573,original_loglinear,0.8255169019278965
(+)-JQ1,2003.9495897155573,improved_hill,0.9550311818157693
(+)-JQ1,2092.9300664290954,original_loglinear,0.8302315295552151
(+)-JQ1,2092.9300664290954,improved_hill,0.9570809970557025
(+)-JQ1,2185.861503424672,original_loglinear,0.8349462550183173
(+)-JQ1,2185.861503424672,improved_hill,0.9590679091424937
(+)-JQ1,2282.919333423333,original_loglinear,0.8396610741615413
(+)-JQ1,2282.919333423333,improved_hill,0.9609935822777913
(+)-JQ1,2384.2867788067265,original_loglinear,0.8443759830055861
(+)-JQ1,2384.2867788067265,improved_hill,0.9628596539807444
(+)-JQ1,2490.1551974978984,original_loglinear,0.8490909777400394
(+)-JQ1,2490.1551974978984,improved_hill,0.9646677342986356
(+)-JQ1,2600.724444200114,original_loglinear,0.853806054716222
(+)-JQ1,2600.724444200114,improved_hill,0.9664194051260213
(+)-JQ1,2716.20324767557,original_loglinear,0.8585212104403332
(+)-JQ1,2716.20324767557,improved_hill,0.9681162196260802
(+)-JQ1,2836.8096047762683,original_loglinear,0.8632364415668871
(+)-JQ1,2836.8096047762683,improved_hill,0.9697597017480408
(+)-JQ1,2962.77119197087,original_loglinear,0.8679517448924253
(+)-JQ1,2962.77119197087,improved_hill,0.9713513458347266
(+)-JQ1,3094.325795144359,original_loglinear,0.8726671173494953
(+)-JQ1,3094.325795144359,improved_hill,0.9728926163144437
(+)-JQ1,3231.721758481955,original_loglinear,0.8773825560008854
(+)-JQ1,3231.721758481955,improved_hill,0.9743849474716305
(+)-JQ1,3375.2184532845695,original_loglinear,0.8820980580340995
(+)-JQ1,3375.2184532845695,improved_hill,0.9758297432908905
(+)-JQ1,3525.0867676009134,original_loglinear,0.8868136207560703
(+)-JQ1,3525.0867676009134,improved_hill,0.9772283773692312
(+)-JQ1,3681.6096176004667,original_loglinear,0.8915292415880919
(+)-JQ1,3681.6096176004667,improved_hill,0.9785821928915471
(+)-JQ1,3845.082481652772,original_loglinear,0.8962449180609707
(+)-JQ1,3845.082481652772,improved_hill,0.979892502664589
(+)-JQ1,4015.8139581211503,original_loglinear,0.9009606478103779
(+)-JQ1,4015.8139581211503,improved_hill,0.9811605892048766
(+)-JQ1,4194.126347923944,original_loglinear,0.9056764285724014
(+)-JQ1,4194.126347923944,improved_hill,0.9823877048762231
